referencia,abacco_id,linea,descripcion,iva,precio_unitario,cantidad,descuento,total_bruto
CO2607-5283,5934,1,"528 - BOX ENCAJONADO + MODELO MONACO MATRIMONIAL 1,40 x 1,90","0,00",1,,"0,00",
CO2607-5283,5934,2,5533 - CORTIJO,"55,00",1,,"55,00",
CO2607-5283,5934,3,475 - TRIGO,"0,00",1,,"0,00",
CO2607-5283,5934,4,"CAMAS - BOX ENCAJONADO + MODELO MONACO MATRIMONIAL 1,40 x 1,90 - CORTIJO - TRIGO - - -","540,00",1,25%,"405,00",
CO2607-5283,5934,5,DELIVERY -,"15,00",1,,"15,00",
CO2606-5226,5906,1,799 - DELUXE 2 PILLOW - COBARCA - QUEEN,"0,00",1,,"0,00",
CO2606-5226,5906,2,COLCHONES - DELUXE 2 PILLOW - COBARCA - QUEEN -,"490,00",1,,"490,00",
CO2606-5226,5906,3,DELIVERY -,"30,00",1,,"30,00",
CO2606-5210,5892,1,624 - GRANADA - LATINFLEX - QUEEN,"0,00",1,,"0,00",
CO2606-5210,5892,2,COLCHONES - GRANADA - LATINFLEX - QUEEN -,"395,00",1,,"395,00",
CO2606-5211,5893,1,785 - ECOFLEX 1 PILLOW - COBARCA - MATRIMONIAL,"0,00",1,,"0,00",
CO2606-5211,5893,2,COLCHONES - ECOFLEX 1 PILLOW - COBARCA - MATRIMONIAL -,"295,00",1,,"295,00",
CO2606-5212,5894,1,"901 - BL + OSTRA sh INDIVIDUAL 1,00 x 1,90",,0.00,,,
CO2606-5212,5894,2,393 - OTTOMAN,,0.00,,,
CO2606-5212,5894,3,933 - ROSA BEBE,,0.00,,,
CO2606-5212,5894,4,"CAMAS - BL + OSTRA sh INDIVIDUAL 1,00 x 1,90 - OTTOMAN - ROSA BEBE - - -",,240.00,,,
CO2606-5213,5895,1,5504 - BL + LINEAL MIXTA MATRIMONIAL,"0,00",1,,"0,00",
CO2606-5213,5895,2,393 - OTTOMAN,"0,00",1,,"0,00",
CO2606-5213,5895,3,450 - NEGRO,"0,00",1,,"0,00",
CO2606-5213,5895,4,408 - PATAS TIPO L,"0,00",1,,"0,00",
CO2606-5213,5895,5,705 - 2 ALMOHADA OBSEQUIO,"0,00",1,,"0,00",
CO2606-5213,5895,6,CAMAS - BL + LINEAL MIXTA MATRIMONIAL - OTTOMAN - NEGRO - PATAS TIPO L - 2 ALMOHADA OBSEQUIO -,"230,00",1,,"230,00",
CO2606-5213,5895,7,10002 - BAMBOO - MATRIMONIAL,"0,00",1,,"0,00",
CO2606-5213,5895,8,COLCHONES - - BAMBOO - MATRIMONIAL,"200,00",1,,"200,00",
(PROV5896),5896,1,782 - ECOFLEX SIN PILLOW - COBARCA - MATRIMONIAL,,0.00,,,
(PROV5896),5896,2,COLCHONES - ECOFLEX SIN PILLOW - COBARCA - MATRIMONIAL -,,255.00,,,
CO2606-5250,5897,1,5504 - BL + LINEAL MIXTA MATRIMONIAL,"0,00",1,,"0,00",
CO2606-5250,5897,2,402 - CAMELLO,"2,50",1,,"2,50",
CO2606-5250,5897,3,437 - GRIS CLARO,"0,00",1,,"0,00",
CO2606-5250,5897,4,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2606-5250,5897,5,"CAMAS - BL + LINEAL MIXTA MATRIMONIAL *copete de alto 1,05cm y empezar el diseño desde los 50cm hacia arriba* - CAMELLO - GRIS CLARO - PATAS DECORATIVAS - -","230,00",1,25%,"172,50",
(PROV5898),5898,1,"528 - BOX ENCAJONADO + MODELO MONACO MATRIMONIAL 1,40 x 1,90",,0.00,,,
(PROV5898),5898,2,383 - TAPI SWEET (CASTILLO),,0.00,,,
(PROV5898),5898,3,381 - BEIGE RATTAN,,0.00,,,
(PROV5898),5898,4,"CAMAS - BOX ENCAJONADO + MODELO MONACO lineal vertical MATRIMONIAL 1,40 x 1,90 - TAPI SWEET (CASTILLO) - BEIGE RATTAN - segunda opción de tela lino t kaki- - Imagen de referencia",,540.00,,,
CO2606-5224,5899,1,"01 - BOX SOLO INDIVIDUAL 1,00 x 1,90","0,00",1,,"0,00",
CO2606-5224,5899,2,390 - LINO,"0,00",1,,"0,00",
CO2606-5224,5899,3,450 - NEGRO,"0,00",1,,"0,00",
CO2606-5224,5899,4,"CAMAS - BOX SOLO INDIVIDUAL 1,00 x 1,90 - LINO - NEGRO - - -","150,00",1,,"150,00",
CO2606-5201,5888,1,"22 - BL + CAPITONEADO ESCONDIDO MATRIMONIAL 1,40 x 1,90","0,00",1,,"0,00",
CO2606-5201,5888,2,385 - BIPIEL,"0,00",1,,"0,00",
CO2606-5201,5888,3,427 - BLANCO,"0,00",1,,"0,00",
CO2606-5201,5888,4,704 - 1 ALMOHADA OBSEQUI,"0,00",1,,"0,00",
CO2606-5201,5888,5,"CAMAS - BL + CAPITONEADO ESCONDIDO MATRIMONIAL 1,40 x 1,90 - BIPIEL - BLANCO - - 1 ALMOHADA OBSEQUI - cama con copete modificado en tienda","230,00",1,,"230,00",
CO2606-5201,5888,6,10002 - BAMBOO - MATRIMONIAL,"0,00",1,,"0,00",
CO2606-5201,5888,7,COLCHONES - - BAMBOO - MATRIMONIAL,"200,00",1,,"200,00",
CO2606-5202,5889,1,5050-52 - 5050-52 MAXEL New Toquio puertas corredizas 9 gavetas blanco con marron,"0,00",1,,"0,00",
CO2606-5202,5889,2,CLOSET - 5050-52 MAXEL New Toquio puertas corredizas 9 gavetas blanco con marron,"580,00",1,,"580,00",
CO2606-5202,5889,3,DELIVERY -,"20,00",1,,"20,00",
CO2606-5203,5890,1,37 - BL + LINEAL HORIZONTAL SIN MARCO INDIVIDUAL,"0,00",1,,"0,00",
CO2606-5203,5890,2,1039 - TRACKER,"30,00",1,,"30,00",
CO2606-5203,5890,3,443 - MARFIL,"0,00",1,,"0,00",
CO2606-5203,5890,4,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2606-5203,5890,5,CAMAS - BL + LINEAL HORIZONTAL SIN MARCO INDIVIDUAL - TRACKER - MARFIL - PATAS DECORATIVAS - -,"205,00",1,,"205,00",
CO2606-5203,5890,6,37 - BL + LINEAL HORIZONTAL SIN MARCO INDIVIDUAL,"0,00",1,,"0,00",
CO2606-5203,5890,7,1039 - TRACKER,"30,00",1,,"30,00",
CO2606-5203,5890,8,443 - MARFIL,"0,00",1,,"0,00",
CO2606-5203,5890,9,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2606-5203,5890,10,CAMAS - BL + LINEAL HORIZONTAL SIN MARCO INDIVIDUAL - TRACKER - MARFIL - PATAS DECORATIVAS - -,"205,00",1,,"205,00",
CO2606-5203,5890,11,39 - BL + LINEAL HORIZONTAL SIN MARCO QUEEN,"0,00",1,,"0,00",
CO2606-5203,5890,12,1039 - TRACKER,"50,00",1,,"50,00",
CO2606-5203,5890,13,443 - MARFIL,"0,00",1,,"0,00",
CO2606-5203,5890,14,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2606-5203,5890,15,CAMAS - BL + LINEAL HORIZONTAL SIN MARCO QUEEN - TRACKER - MARFIL - PATAS DECORATIVAS - -,"290,00",1,,"290,00",
CO2606-5204,5891,1,42 - BL + LINEAL VERTICAL SIN MARCO MATRIMONIAL,"0,00",1,,"0,00",
CO2606-5204,5891,2,383 - TAPI SWEET (CASTILLO),"0,00",1,,"0,00",
CO2606-5204,5891,3,422 - BEIGE 1,"0,00",1,,"0,00",
CO2606-5204,5891,4,CAMAS - BL + LINEAL VERTICAL SIN MARCO MATRIMONIAL - TAPI SWEET (CASTILLO) - BEIGE 1 - imagen de referencia del color de tela,"230,00",1,,"230,00",
CO2606-5189,5872,1,"01 - BOX SOLO INDIVIDUAL 1,00 x 1,90","0,00",1,,"0,00",
CO2606-5189,5872,2,890 - TAPI POLO,"0,00",1,,"0,00",
CO2606-5189,5872,3,436 - GRIS,"0,00",1,,"0,00",
